EventId,Content,PID,Occurences,Lemmatized Content
ed2rwftg,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,19939.0,118,authentication failure ; logname= uid=0 euid=0 tty = NODEVssh ruser= rhost=218.188.2.4
ed2rwftg,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,19937.0,118,authentication failure ; logname= uid=0 euid=0 tty = NODEVssh ruser= rhost=218.188.2.4
ed2rwftg,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,23397.0,118,authentication failure ; logname= uid=0 euid=0 tty = NODEVssh ruser= rhost=218.188.2.4
ed2rwftg,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,23395.0,118,authentication failure ; logname= uid=0 euid=0 tty = NODEVssh ruser= rhost=218.188.2.4
ed2rwftg,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,23404.0,118,authentication failure ; logname= uid=0 euid=0 tty = NODEVssh ruser= rhost=218.188.2.4
ed2rwftg,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,23399.0,118,authentication failure ; logname= uid=0 euid=0 tty = NODEVssh ruser= rhost=218.188.2.4
ed2rwftg,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,23406.0,118,authentication failure ; logname= uid=0 euid=0 tty = NODEVssh ruser= rhost=218.188.2.4
ed2rwftg,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,23394.0,118,authentication failure ; logname= uid=0 euid=0 tty = NODEVssh ruser= rhost=218.188.2.4
ed2rwftg,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,23396.0,118,authentication failure ; logname= uid=0 euid=0 tty = NODEVssh ruser= rhost=218.188.2.4
ed2rwftg,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,23407.0,118,authentication failure ; logname= uid=0 euid=0 tty = NODEVssh ruser= rhost=218.188.2.4
